2,10407,"Selina Jörg, Lukas Straumann","oel",201012220930,,,,
"ID","Gegendruck [kPa]","On/Off control","Frequenz [Hz]","TempMedium [°C]","TempPumpe [°C]","TempUmgebung [°C]","FlussSensor [ml/min]","FlussWaage[ml/min]"
1001,0,1,10,22.195,22.255,22.823,0.143,0.062
1002,0,1,20,22.2,22.37,23.055,0.218,0.154
1003,0,1,30,22.27,22.488,23.045,0.237,0.149
1004,0,1,40,22.226,22.355,22.952,0.244,0.167
1005,0,1,45,22.253,22.312,22.877,0.246,0.167
1006,0,1,47.5,22.263,22.347,22.997,0.244,0.167
1007,0,1,50,22.248,22.283,22.971,0.245,0.185
1008,0,1,52.5,22.287,22.31,23.068,0.245,0.176
1009,0,1,55,22.253,22.236,22.953,0.242,0.176
1010,0,1,60,22.291,22.378,23.067,0.245,0.163
