2,10396,"Selina Jörg, Lukas Straumann","water",201012221630,,,,
"ID","Gegendruck [kPa]","On/Off control","Frequenz [Hz]","TempMedium [°C]","TempPumpe [°C]","TempUmgebung [°C]","FlussSensor [ml/min]","FlussWaage[ml/min]"
1001,0,1,60,23.121,24.85,24.262,9.336,2.708
1002,0,1,80,23.126,24.723,24.014,6.412,3.188
1003,0,1,120,23.171,24.643,24.156,8.625,2.952
1004,0,1,160,23.119,24.494,24.116,8.98,2.412
1005,0,1,180,23.141,24.528,24.079,11.386,2.784
1006,0,1,190,23.103,24.479,24.091,11.599,2.864
1007,0,1,200,23.171,24.53,24.152,11.187,2.844
1008,0,1,210,23.104,24.485,24.16,11.897,2.944
1009,0,1,220,23.145,24.499,24.189,12.446,2.964
1010,0,1,240,23.127,24.462,24,12.141,2.864
